
"NR_TOWARU";"NAZWA_TOWARU";"DATA_ZAKUPU";"DOK_ZAKUPU";"SERIA";"KOD_KRESKOWY";"ILOSC_AKTUALNA";"STAN_FAKTYCZNY";"ILOSC_STAN";"CENA_ZAKUPU"
"2781";"Przecinarka do tabletek 1 szt.";"2019.07.18";"10901/FG/LC/19";"02/2019";"5907513008064";"0";"0";"0";"4.35"
"2781";"Przecinarka do tabletek 1 szt.";"2019.02.09";"50119D/2019/WA";"12/2018";"5907513008064";"0";"0";"0";"4.19"
"2781";"Przecinarka do tabletek 1 szt.";"2019.06.05";"135956/FG/GD/19";"02/2019";"5907513008064";"0";"0";"0";"4.35"
"2781";"Przecinarka do tabletek 1 szt.";"2019.01.03";"832/FG/GD/19";"01/2018";"5907513008064";"0";"0";"0";"3.96"
"2781";"Przecinarka do tabletek 1 szt.";"2019.04.24";"146290D/2019/WA";"2019/01";"5907513008064";"0";"0";"0";"3.78"
"2781";"Przecinarka do tabletek 1 szt.";"2019.09.03";"34803/FG/LC/19";"02/2019";"5907513008064";"1";"0";"0";"4.35"
"2781";"Przecinarka do tabletek 1 szt.";"2019.07.10";"1556332858";"06/2018";"5907513008064";"0";"0";"0";"4.6"
"2781";"Przecinarka do tabletek 1 szt.";"2019.07.09";"5818/FG/LC/19";"02/2019";"5907513008064";"0";"0";"0";"4.35"
"2781";"Przecinarka do tabletek 1 szt.";"2019.01.25";"FV/20496/19/DW";;"5907513008064";"0";"0";"0";"4.42"
"2781";"Przecinarka do tabletek 1 szt.";"2018.12.15";"FV/292715/18/DW";;"5907513008064";"0";"0";"0";"3.54"
"2140";"Rekinol extra kaps. 72 kaps.";"2018.11.26";"FS20181107216";;"5904960011746";"0";"0";"0";"12.34"
"4308";"Rp.Butel. 200 ml.-recept. 1 szt.";"2019.03.15";"FV/59840/19/DW";;;"0";"0";"0";"1.44"
"4309";"Rp.Butel. 250 ml.-recept. 1 szt.";"2019.03.15";"FV/59840/19/DW";;;"0";"0";"0";"1.85"
"4309";"Rp.Butel. 250 ml.-recept. 1 szt.";"2019.08.20";"FV/172903/19/DW";;"5903228140143";"5";"0";"0";"1.85"
"4478";"Rp.Butelka apteczna 100ml gwint 28mm 1szt.";"2019.04.03";"FV/73190/19/DW";;"5903228140082";"3";"0";"0";"1.14"
"5094";"Rp.Butelka apteczna 500ml t 28mm 1szt.";"2019.08.21";"1556531574";;"5903228140167";"0";"0";"0";"3.21"
"2829";"Rp.Hascobaza (Rec.) pod³o¿e maœciowe 500 g";"2018.12.19";"FV/295418/18/DW";;"5909990680986";"0";"0";"0";"0.24"
"2981";"Rp.Hydrocortisonum (Rec.) subst. 0,5 g";"2019.03.19";"FV/62082/19/DW";"020818D";"5909991213916";"0";"0";"0";"187.81"
"4452";"Rp.Hydrocortisonum (Rec.) subst. 0,5 g";"2019.03.29";"FV/70772/19/DW";;"5901315021498";"0";"0";"0";"103.12"
"4476";"Rp.Nakrêtka na butelkê fi 28 1 szt.";"2019.04.03";"FV/73190/19/DW";;"5906874832288";"83";"0";"0";"0.25"
"2873";"Rp.pude³ko  GAKO Unguator® 100/140 ml ";"2019.03.09";"FV/55531/19/DW";;"4251208800060";"0";"0";"0";"10.47"
"4483";"Rp.Pude³ko apteczne 50ml/30g typ 6 1 szt.";"2019.04.03";"83076/FG/GD/19";"BRAK";"B.KODU";"0";"0";"0";"0.85"
"4483";"Rp.Pude³ko apteczne 50ml/30g typ 6 1 szt.";"2019.05.27";"1556099116";;"5903313700009";"3";"0";"0";"0.6"
"3473";"Rp.Pude³ko apteczne bia³e 200 ml zak 12sz";"2019.01.25";"FV/20496/19/DW";;;"7";"0";"0";"1.73"
"4482";"Rp.Pude³ko apteczne typ 16 20g/25ml 1szt.";"2019.04.03";"83076/FG/GD/19";"BRAK";"B.KODU";"0";"0";"0";"1.03"
"2835";"Rp.Pude³ko do maœci z pol.bia³ 100g 20szt.";"2018.12.19";"FV/295418/18/DW";;;"17";"0";"0";"1.41"
"831";"Rutinacea Complete tabl. 120tabl.(90+30ta)";"2019.01.18";"6/2019";"01AF1018";"5904356980946";"2";"0";"0";"4.53"
"4240";"SCHOLL Gelactiv - Du¿y klin 1 szt.";"2019.07.20";"FV/151362/19/DW";"0119-1";"5038483002841";"0";"0";"0";"18.14"
"4238";"SCHOLL klin p/p³askostopiu pod³. r.35-37 4";"2019.03.13";"FV/57916/19/DW";;"5908270601512";"0";"0";"0";"11.22"
"2141";"Skrzypolen z biotyn¹ kaps. 72 kaps.";"2018.11.26";"FS20181107216";;"5904960011296";"0";"0";"0";"11.18"
"3472";"Sm. gryzak silik. anatom. pow.18m CANPOL 2";"2019.05.08";"FM/10867/19/DW";;"5903407225081";"1";"0";"0";"4.65"
"3472";"Sm. gryzak silik. anatom. pow.18m CANPOL 2";"2019.01.25";"FV/20496/19/DW";;"5903407225081";"0";"0";"0";"5.13"
"3470";"Smocz. CANPOL gryz.silik.okr.Nature 22/435";"2019.01.25";"FV/20496/19/DW";;"5903407224350";"0";"0";"0";"5.13"
"3689";"Sollievo tabl. 30 tabl.";"2019.02.06";"F/0099/02/19/PW";"18J0047";"8032472000945";"0.5";"0";"0";"14.69"
"5824";"SOPELEK 2 Aspirator do nosa zapas.jednor.f";"2019.09.25";"326731D/2019/WA";"042018-1";"5901549819038";"3";"0";"0";"4.84"
"3073";"SOPELEK Aspirator do nosa aparat+3 jedn.ko";"2019.08.10";"22884/FG/LC/19";"012019-3";"5901549819007";"1";"0";"0";"14.79"
"3073";"SOPELEK Aspirator do nosa aparat+3 jedn.ko";"2019.03.04";"54660/FG/GD/19";"012019-1";"5901549819007";"0";"0";"0";"14.09"
"3073";"SOPELEK Aspirator do nosa aparat+3 jedn.ko";"2019.01.08";"3725/FG/GD/19";"012018-3";"5901549819007";"0";"0";"0";"14.09"
"3073";"SOPELEK Aspirator do nosa aparat+3 jedn.ko";"2019.02.15";"39593/FG/GD/19";"012019-1";"5901549819007";"0";"0";"0";"14.09"
"1311";"Stopery p/ha³asowe jednoraz.u¿yt. 1szt.";"2019.02.21";"FM/4616/19/DW";"K1311";;"0";"0";"0";"1.46"
"1311";"Stopery p/ha³asowe jednoraz.u¿yt. 1szt.";"2019.07.30";"FM/18618/19/DW";;;"1";"0";"0";"1.54"
"1311";"Stopery p/ha³asowe jednoraz.u¿yt. 1szt.";"2019.01.02";"FV/540/19/DW";"K1311";;"0";"0";"0";"2.12"
"1311";"Stopery p/ha³asowe jednoraz.u¿yt. 1szt.";"2018.11.22";"FV/272530/18/DW";;;"0";"0";"0";"2.12"
"1311";"Stopery p/ha³asowe jednoraz.u¿yt. 1szt.";"2018.11.19";"FV/266791/18/DW";;;"0";"0";"0";"2.12"
"1311";"Stopery p/ha³asowe jednoraz.u¿yt. 1szt.";"2019.09.28";"FM/24120/19/DW";;;"3";"0";"0";"1.54"
"1301";"Stopper t³um.do uszu 111 TYP MWD-11 1szt.";"2019.01.04";"FV/2261/19/DW";;"5902138051112";"0";"0";"0";"1.28"
"1301";"Stopper t³um.do uszu 111 TYP MWD-11 1szt.";"2018.11.19";"FV/266791/18/DW";;"5902138051112";"0";"0";"0";"1.28"
"2970";"Stopper t³um.do uszu DECIDAMP 1 op.";"2019.01.02";"FV/540/19/DW";"041018";"5906874006016";"0";"0";"0";"4.01"
"2970";"Stopper t³um.do uszu DECIDAMP 1 op.";"2019.05.31";"FV/114119/19/DW";"""brak serii""";"5906874006016";"2";"0";"0";"4"
"4875";"Stopper t³um.do uszu ELA 201 1szt.(para)";"2019.07.11";"FV/144414/19/DW";"""brak serii""";"5902138051112";"2";"0";"0";"1.23"
"624";"Sztyft do nosa Rhin-Bac Fresh 1 szt.";"2019.01.26";"FV/21421/19/DW";;"5904055001805";"0";"0";"0";"4.1"
"624";"Sztyft do nosa Rhin-Bac Fresh 1 szt.";"2019.01.22";"FV/17559/19/DW";;"5904055001805";"0";"0";"0";"4.1"
"624";"Sztyft do nosa Rhin-Bac Fresh 1 szt.";"2018.11.19";"FV/265975/18/DW";;"5904055001805";"0";"0";"0";"4.21"
"4665";"Tantum Rosa Irygator do hig.intymnej 500ml";"2019.04.18";"96828/FG/GD/19";"190/2018";"5906681443332";"0";"0";"0";"7.3"
"4665";"Tantum Rosa Irygator do hig.intymnej 500ml";"2019.07.29";"FV/157020/19/DW";"187/2018";"5906681443332";"1";"0";"0";"7.64"
"2283";"Termometr bezrtêciowy klasyczny 1 szt.";"2019.08.06";"20047/FG/LC/19";"201810";"5907572329940";"3";"0";"0";"11.67"
"1958";"Termometr Diagnostic NC300 1 szt.";"2018.11.22";"F/041057/18/MG";;"5907581253564";"0";"0";"0";"83.4"
"1958";"Termometr Diagnostic NC300 1 szt.";"2019.01.29";"F/004087/19/MG";;"5907581253564";"0";"0";"0";"83.4"
"1958";"Termometr Diagnostic NC300 1 szt.";"2018.12.04";"F/042695/18/MG";;"5907581253564";"0";"0";"0";"83.4"
"1958";"Termometr Diagnostic NC300 1 szt.";"2019.01.11";"11821D/2019/WA";"EU1820";"5907581253564";"0";"0";"0";"79.92"
"1958";"Termometr Diagnostic NC300 1 szt.";"2019.01.22";"24738D/2019/WA";"EU1820";"5907581253564";"0";"0";"0";"79.92"
"1959";"Termometr DIAGNOSTIC T-01 elektroniczny 1s";"2018.11.22";"F/041057/18/MG";;"5906881862278";"0";"0";"0";"7.57"
"1959";"Termometr DIAGNOSTIC T-01 elektroniczny 1s";"2019.02.25";"F/007828/19/MG";;"5906881862278";"2";"0";"0";"7.57"
"1960";"Termometr DIAGNOSTIC T-02 Flexible elektro";"2018.11.22";"F/041057/18/MG";;"5906881862285";"0";"0";"0";"8.41"
"1960";"Termometr DIAGNOSTIC T-02 Flexible elektro";"2019.08.16";"F/029253/19/MG";"19031211-2";"5906881862285";"5";"0";"0";"8.41"
"4002";"Termometr Dr CHECK FC500 bezkontakt.na pod";"2019.02.25";"F/007828/19/MG";;"5907581255988";"0";"0";"0";"83.4"
"2088";"Test ci¹¿owy SWISS TEST AMIL p³ytkowy 1szt";"2019.01.03";"257/12/2018";;"5905919045317";"0";"0";"0";"2.15"
"4745";"Trix lasso na kleszcze 1 szt.";"2019.04.30";"1555959528";"062018";"7394287045018";"0";"0";"0";"16.72"
"4745";"Trix lasso na kleszcze 1 szt.";"2019.04.30";"1555959528";"062018";"7394287045018";"0";"0";"0";"16.73"
"4745";"Trix lasso na kleszcze 1 szt.";"2019.05.08";"1555989688";;"7394287045018";"1";"0";"0";"18.95"
"2082";"Vitaswiss C200 Forte tabl. 50 tabl.";"2019.01.03";"257/12/2018";;"5905919045331";"0";"0";"0";"3.23"
"2083";"Vitaswiss D3 2000 j.m. kaps.miêkkie 60kaps";"2018.12.07";"229/12/2018";;"5905919045294";"0";"0";"0";"4.85"
"2084";"Vitaswiss K2+D3 kaps.miêkkie 30 kaps.";"2018.12.07";"229/12/2018";;"5905919045300";"0";"0";"0";"9.17"
"516";"Voltaren MAX ¿el 0,0232 g/g 50 g (tuba)";"2019.02.22";"MM/DM/9/2019";;"5909990968947";"0";"0";"0";"16.83"
"2119";"Volumatic apar.do rozp. 1 szt.";"2018.12.08";"408622D/2018/WA";"010189313";"9908180430239";"0";"0";"0";"31.23"
"2119";"Volumatic apar.do rozp. 1 szt.";"2018.11.26";"FV/275187/18/DW";"010189313";"3393370029380";"0";"0";"0";"30.81"
"4221";"Wata bawe³.wiskoz. opatr.100g 1 szt.";"2019.07.22";"FM/17847/19/DW";"52141";"5904913810488";"0";"0";"0";"1.92"
"4221";"Wata bawe³.wiskoz. opatr.100g 1 szt.";"2019.03.12";"FV/56972/19/DW";"185141";"5904913810488";"0";"0";"0";"2.26"
"4223";"Wata bawe³.wiskoz. opatr.200g 1 szt.";"2019.03.12";"FV/56972/19/DW";"190822/17";"5903956001020";"0";"0";"0";"4.33"
"4223";"Wata bawe³.wiskoz. opatr.200g 1 szt.";"2019.09.02";"FV/183343/19/DW";"192241";"5904913810471";"1";"0";"0";"4.33"
"520";"Wata opatrunkowa 100g 1 szt.";"2019.03.19";"FV/62141/19/DW";"185121/56";"5908278516344";"0";"0";"0";"2.71"
"520";"Wata opatrunkowa 100g 1 szt.";"2019.05.07";"FV/94940/19/DW";"190822/17";"5908278516344";"0";"0";"0";"2.71"
"520";"Wata opatrunkowa 100g 1 szt.";"2019.03.12";"FV/56972/19/DW";"185121/56";"5908278516344";"0";"0";"0";"2.71"
"520";"Wata opatrunkowa 100g 1 szt.";"2018.11.19";"FV/266810/18/DW";"182161/22";"5908278516344";"0";"0";"0";"2.62"
"1833";"Witamina B complex tabl. 50 tabl.AMIL";"2018.11.21";"FS 3121/2018";"170802621";"5907709926202";"0";"0";"0";"2.95"
"1832";"Witamina C 200mg tabl.powl. 50 tabl.AMIL";"2018.11.21";"FS 3121/2018";"170903137";"5907709926189";"0";"0";"0";"2.95"
"283";"Wk³.hig. BELLA PANTY CLASSIC Regular 20szt";"2018.11.19";"FV/266773/18/DW";;"5900516310417";"0";"0";"0";"3.47"
"2226";"Wk³.laktacyjne PENATEN MAMA 50 szt.";"2018.11.27";"FV/276359/18/DW";;"3574660213201";"0";"0";"0";"13.98"
"2226";"Wk³.laktacyjne PENATEN MAMA 50 szt.";"2018.11.27";"FV/276359/18/DW";;"3574660213201";"0";"0";"0";"18.63"
"2226";"Wk³.laktacyjne PENATEN MAMA 50 szt.";"2018.11.27";"FV/276359/18/DW";"17288111";"3574660213201";"0";"0";"0";"18.63"
"2342";"Zatoxin tabl.powl. 60tabl.";"2019.03.06";"mm/wp/33/2019";;"5908311593295";"0";"0";"0";"0.37"
"1894";"Zestaw akcesoriów do inhalacji ";"2018.11.22";"F/041057/18/MG";;"5907581254264";"0";"0";"0";"28.57"
"1894";"Zestaw akcesoriów do inhalacji ";"2019.01.29";"F/004087/19/MG";;"5907581254264";"0";"0";"0";"28.57"
"1894";"Zestaw akcesoriów do inhalacji ";"2019.08.16";"F/029253/19/MG";"0617";"5907581254264";"0";"0";"0";"28.57"
"1894";"Zestaw akcesoriów do inhalacji ";"2019.04.18";"F/015555/19/MG";"0617";"5907581254264";"0";"0";"0";"28.57"
"1894";"Zestaw akcesoriów do inhalacji ";"2018.12.04";"F/042695/18/MG";;"5907581254264";"0";"0";"0";"28.57"
"2151";"¯urascin Junior syrop 100 ml";"2018.11.26";"FS20181107216";"18484";"5904960010244";"0";"0";"0";"6.03"
"2150";"¯urascin kaps. 36 kaps.";"2018.11.26";"FS20181107216";;"5907559279718";"0";"0";"0";"9.97"
